word,translation_en,translation_jp
die Nullstelle einer Funktion,the zero of a function,関数のゼロ
absteigend,descending,降順
darstellen,represent,代表する
der Funktionswert,the function value,関数の値
die Definitionsmenge,the definition set,定義セット
die höchste vorkommende Potenz,the highest occurring potency,最も高い効力が発生する
der Satz,the sentence,文
die Kurvendiskussion,the curve discussion,カーブの議論
die Kubikwurzel,the cube root,立方根
die Einheit,the unit,ユニット
die Tabelle,the table,テーブル
der Grad,the degree,学位
die Multiplikation,the multiplication,掛け算
der Lehrsatz,the doctrine,教義
abnehmen,lose weight,体重を減らす
die Ausgangsgleichung,the initial equation,初期方程式
das Drittel,the third,3番目の
das unbestimmte Integral,the indefinite integral,不定積分
das Beispiel,the example,例
der Graph,the graph,グラフ
die Varianz,the variance,差異
die Kurventangente an einer Stelle,the curve tangent at one point,曲線の 1 点での接線
der Wurzelexponent,the root exponent,根指数
die gebrochenrationale Funktion,the fractional rational function,分数有理関数
die y-Koordinate,the y coordinate,y 座標
die Skizze,the sketch,スケッチ
die Funktionskurve,the function curve,関数曲線
die Menge,the amount,金額
die Logarithmusfunktion,the logarithm function,対数関数
das Vieleck,the polygon,多角形
das Paar,the couple,カップル
die Normalform,the normal form,通常の形
das Ereignis,the event,イベント
das Gesetz,the law,法律
das geordnete Paar,the ordered pair,注文されたペア
die Lösung bestimmen,determine the solution,解決策を決める
das Längenmaß,the measure of length,長さの測り方
der Rest,the rest,残り
die Tangente,the tangent,接線
die geometrische Folge,the geometric sequence,幾何級数
das Zeichen,the sign,サイン
die Punktrechnung,the point calculation,ポイント計算
die Diagonale,the diagonal,対角線
die Raute,the diamond,ダイヤモンド
die Asymptote,the asymptote,漸近線
die Folge,the consequence,結果
das Hexadezimalsystem,the hexadecimal system,16進法
der Schenkel,the thigh,太もも
das Urbild,the archetype,原型
der Zähler,the counter,カウンター
die doppelte Nullstelle,the double zero,二重ゼロ
die Zuordnungsvorschrift,the allocation rule,割り当てルール
der Brennpunkt,the focal point,焦点
die Kettenfunktion,the chain function,チェーン機能
die Inklusion,the inclusion,包含
die Gesamtfläche,the total area,総面積
die x-Achse,the x-axis,X軸
der Endpunkt,the end point,終点
die Endpunkte einer Strecke,the end points of a route,ルートの終点
